,epsilon,g,gamma_hot,gamma_cold,temperature_hot,temperature_cold,concurrence
93,1,0.02,0.001,0.1,9.4,0.01,0.08858673059168519
94,1,0.02,0.001,0.1,9.5,0.01,0.08877936050700812
95,1,0.02,0.001,0.1,9.6,0.01,0.08896447509025066
96,1,0.02,0.001,0.1,9.700000000000001,0.01,0.08914223079668751
97,1,0.02,0.001,0.1,9.8,0.01,0.08931278041256265
98,1,0.02,0.001,0.1,9.9,0.01,0.089476273157024
99,1,0.02,0.001,0.1,10.0,0.01,0.08963285478076029
100,1,0.02,0.001,0.1,10.1,0.01,0.08978266766145825
101,1,0.02,0.001,0.1,10.200000000000001,0.01,0.08992585089619687
102,1,0.02,0.001,0.1,10.3,0.01,0.09006254039089015
103,1,0.02,0.001,0.1,10.4,0.01,0.09019286894688507
104,1,0.02,0.001,0.1,10.5,0.01,0.09031696634481669
105,1,0.02,0.001,0.1,10.6,0.01,0.09043495942581774
106,1,0.02,0.001,0.1,10.700000000000001,0.01,0.09054697217018232
107,1,0.02,0.001,0.1,10.8,0.01,0.09065312577356681
108,1,0.02,0.001,0.1,10.9,0.01,0.09075353872082263
109,1,0.02,0.001,0.1,11.0,0.01,0.09084832685754143
110,1,0.02,0.001,0.1,11.1,0.01,0.09093760345939171
111,1,0.02,0.001,0.1,11.200000000000001,0.01,0.09102147929933004
112,1,0.02,0.001,0.1,11.3,0.01,0.09110006271275344
113,1,0.02,0.001,0.1,11.4,0.01,0.09117345966067288
114,1,0.02,0.001,0.1,11.5,0.01,0.09124177379097126
115,1,0.02,0.001,0.1,11.6,0.01,0.09130510649781458
116,1,0.02,0.001,0.1,11.700000000000001,0.01,0.09136355697927544
117,1,0.02,0.001,0.1,11.8,0.01,0.09141722229323992
118,1,0.02,0.001,0.1,11.9,0.01,0.09146619741164719
119,1,0.02,0.001,0.1,12.0,0.01,0.09151057527311866
120,1,0.02,0.001,0.1,12.1,0.01,0.09155044683404273
121,1,0.02,0.001,0.1,12.200000000000001,0.01,0.09158590111815172
122,1,0.02,0.001,0.1,12.3,0.01,0.09161702526465261
123,1,0.02,0.001,0.1,12.4,0.01,0.09164390457495498
124,1,0.02,0.001,0.1,12.5,0.01,0.09166662255804736
125,1,0.02,0.001,0.1,12.6,0.01,0.09168526097456015
126,1,0.02,0.001,0.1,12.700000000000001,0.01,0.09169989987956524
127,1,0.02,0.001,0.1,12.8,0.01,0.09171061766415073
